Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,6
2020-03-02,1,1,1,1,3,3,4
2020-03-03,1,1,1,1,3,3,4
2020-03-04,1,1,1,2,3,3,4
2020-03-05,0,0,0,0,0,0,1
2020-03-06,0,0,0,0,0,0,1
2020-03-07,0,0,0,0,0,0,1
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,1,1,1,1
2020-03-13,1,1,2,3,5,5,6
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,2,2,3,5,6,7
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,1,1,2,3,3,4
2020-03-18,1,1,1,3,5,5,6
2020-03-19,0,0,0,0,2,2,3
2020-03-20,1,2,2,4,6,6,8
2020-03-21,1,2,2,5,7,8,9
2020-03-22,2,3,3,5,9,11,13
2020-03-23,2,3,4,7,11,11,13
2020-03-24,2,3,3,6,9,10,12
2020-03-25,5,6,6,9,14,14,16
2020-03-26,3,3,4,7,11,12,14
2020-03-27,5,6,7,11,16,17,19
2020-03-28,5,6,7,11,16,17,19
2020-03-29,6,7,8,12,17,18,21
2020-03-30,8,10,11,17,23,24,27
2020-03-31,7,9,9,14,20,22,25
2020-04-01,8,10,11,16,22,24,27
2020-04-02,4,5,6,13,24,27,32
2020-04-03,7,9,9,14,21,22,27
2020-04-04,7,9,9,14,20,22,25
2020-04-05,3,4,5,12,22,24,28
2020-04-06,3,4,5,11,20,23,28
2020-04-07,6,7,8,12,17,19,22
2020-04-08,4,5,6,9,14,15,18
2020-04-09,3,4,5,8,13,15,18
2020-04-10,6,8,8,13,18,19,21
2020-04-11,6,7,8,12,17,19,21
2020-04-12,1,2,3,7,15,17,21
2020-04-13,5,6,7,11,15,17,19
2020-04-14,4,5,5,9,13,14,17
2020-04-15,6,7,8,13,18,19,21
2020-04-16,6,8,10,16,22,23,25
2020-04-17,4,5,5,9,15,16,20
2020-04-18,4,5,6,10,14,16,19
2020-04-19,6,9,9,14,19,21,23
2020-04-20,5,6,7,11,16,17,19
2020-04-21,6,8,9,17,28,29,33
2020-04-22,7,10,12,21,29,30,33
2020-04-23,10,14,16,27,36,37,41
2020-04-24,13,16,18,28,42,46,52
2020-04-25,15,18,20,32,49,52,57
2020-04-26,19,24,27,42,54,56,60
2020-04-27,35,40,42,52,63,65,70
2020-04-28,31,37,40,61,77,81,86
2020-04-29,40,44,46,58,70,73,78
2020-04-30,39,42,44,56,69,71,78
2020-05-01,50,60,63,78,94,97,103
2020-05-02,59,66,69,84,100,102,110
2020-05-03,53,58,60,75,92,95,105
2020-05-04,65,70,73,89,106,110,118
2020-05-05,51,55,58,75,102,111,127
2020-05-06,71,79,82,99,119,123,133
2020-05-07,52,57,59,78,107,116,132
2020-05-08,50,55,57,74,97,106,125
2020-05-09,60,66,68,84,102,106,115
2020-05-10,57,61,64,79,96,100,108
2020-05-11,51,59,62,89,133,143,158
2020-05-12,63,76,81,100,121,126,136
2020-05-13,77,83,87,105,126,131,142
2020-05-14,66,71,74,91,110,115,125
2020-05-15,75,87,91,112,134,138,149
2020-05-16,82,90,94,114,136,140,150
2020-05-17,52,58,62,98,138,146,163
2020-05-18,54,58,61,80,115,127,148
2020-05-19,55,59,62,77,95,99,110
2020-05-20,60,70,73,90,109,112,121
2020-05-21,61,71,74,92,110,115,123
2020-05-22,64,72,75,92,111,116,124
2020-05-23,53,57,59,75,92,97,107
2020-05-24,52,57,60,74,90,94,102
2020-05-25,54,61,64,79,96,99,106
2020-05-26,31,35,37,61,91,97,109
2020-05-27,44,56,63,81,99,103,110
2020-05-28,57,67,70,86,104,107,115
2020-05-29,58,63,65,80,96,99,107
2020-05-30,58,70,75,94,112,116,124
2020-05-31,64,76,80,99,118,122,132
2020-06-01,67,73,76,93,111,116,123
2020-06-02,70,76,79,96,114,118,127
2020-06-03,70,76,79,96,115,119,128
2020-06-04,68,73,75,92,111,115,124
2020-06-05,71,85,93,116,139,143,151
2020-06-06,72,78,82,99,119,123,134
2020-06-07,64,70,73,90,110,115,130
2020-06-08,73,79,81,99,119,124,134
2020-06-09,68,74,77,94,113,117,127
2020-06-10,77,88,93,113,134,139,149
2020-06-11,82,91,95,114,135,140,148
2020-06-12,73,79,82,100,121,126,137
2020-06-13,85,99,106,129,152,157,167
2020-06-14,76,82,86,105,126,132,146
2020-06-15,69,75,78,96,119,126,149
2020-06-16,62,67,70,88,110,118,138
2020-06-17,76,88,92,112,134,138,148
2020-06-18,78,84,87,105,126,130,139
2020-06-19,73,86,93,134,163,169,180
2020-06-20,94,107,112,135,160,165,177
2020-06-21,85,91,95,116,139,145,163
2020-06-22,71,77,80,101,134,145,167
2020-06-23,58,63,65,90,134,145,166
2020-06-24,70,76,79,97,117,122,134
2020-06-25,72,79,83,101,122,126,135
2020-06-26,78,88,92,112,133,138,148
2020-06-27,76,83,86,105,126,131,141
2020-06-28,83,93,97,118,139,143,154
2020-06-29,83,89,92,112,133,137,149
2020-06-30,75,81,84,102,123,128,140
2020-07-01,86,97,101,122,144,149,159
2020-07-02,90,99,103,124,146,150,160
2020-07-03,85,91,95,114,137,142,153
2020-07-04,83,90,93,113,135,140,150
2020-07-05,92,100,104,124,147,151,162
2020-07-06,68,74,77,97,127,140,159
2020-07-07,60,65,68,88,120,132,151
2020-07-08,76,83,87,106,126,131,140
2020-07-09,78,91,95,116,138,143,155
2020-07-10,74,80,83,102,122,127,136
2020-07-11,81,95,99,121,144,149,159
2020-07-12,87,95,98,118,139,144,154
2020-07-13,58,64,67,94,137,146,163
2020-07-14,44,50,54,94,137,146,164
2020-07-15,73,89,95,118,143,149,159
2020-07-16,82,89,92,112,135,139,148
2020-07-17,54,59,62,79,97,101,111
2020-07-18,71,86,91,112,134,139,149
2020-07-19,74,89,98,124,147,154,165
2020-07-20,88,101,105,128,150,156,167
2020-07-21,68,81,87,119,154,161,179
2020-07-22,95,104,109,131,155,160,172
2020-07-23,106,113,117,140,164,170,181
2020-07-24,115,122,126,149,175,181,192
2020-07-25,103,111,115,138,164,169,182
2020-07-26,103,110,114,137,163,168,183
2020-07-27,77,85,89,121,172,184,205
2020-07-28,79,90,97,135,179,191,211
2020-07-29,106,119,124,150,179,185,200
2020-07-30,110,118,122,146,173,179,190
2020-07-31,101,108,112,134,160,165,176
2020-08-01,74,93,101,140,183,193,213
2020-08-02,63,70,77,133,184,194,217
2020-08-03,40,45,48,122,184,197,220
2020-08-04,35,38,40,51,63,67,87
2020-08-05,30,34,37,69,112,117,127
2020-08-06,29,34,36,104,164,170,182
2020-08-07,50,111,127,150,175,181,191
2020-08-08,94,102,106,127,149,155,167
2020-08-09,112,126,131,155,181,186,197
2020-08-10,108,115,119,141,165,171,181
2020-08-11,78,88,94,141,182,190,207
2020-08-12,111,132,143,180,212,219,232
2020-08-13,120,129,134,159,187,193,205
2020-08-14,109,118,121,146,173,179,190
2020-08-15,122,131,135,161,190,196,210
2020-08-16,108,115,119,144,173,181,203
2020-08-17,79,87,93,143,195,207,229
2020-08-18,67,74,79,134,193,205,228
2020-08-19,100,110,115,142,172,179,194
2020-08-20,88,95,99,121,146,151,162
2020-08-21,96,103,107,129,154,159,171
2020-08-22,98,115,122,147,175,180,193
2020-08-23,81,88,92,113,139,147,169
2020-08-24,58,66,69,99,147,157,177
2020-08-25,43,47,49,91,141,152,171
2020-08-26,60,85,96,121,147,152,164
2020-08-27,80,87,90,110,132,137,147
2020-08-28,71,76,78,97,116,121,130
